TestID,ThreadID,HeadScoreP,HeadScoreR,HeadScoreF1,URLScoreP,URLScoreR,URLScoreF1,ExScoreP,ExScoreR,ExScoreF1
I03005,thread_QVxKla6EIkhfZlA13zgnvwl2,1.000,1.000,1.000,0.418,0.254,0.336,0.036,-0.416,-0.198
I13005,thread_4b15fP3pSfJBCC2iBVrS2iSm,1.000,1.000,1.000,0.025,0.024,0.026,0.336,-0.006,0.160
I23005,thread_qJS5wq1NGl3Ub7jsRmQTsGhc,1.000,1.000,1.000,0.426,0.193,0.308,0.224,-0.167,0.023
I33005,thread_0xRjE0cUFZGOFT65sVxee3m5,1.000,1.000,1.000,0.459,0.211,0.333,0.097,-0.112,-0.008
S43005,thread_7BrYVb1agkjdkovwGKgscuvB,1.000,1.000,1.000,-0.840,-0.121,-0.507,0.070,-0.301,-0.121
S53005,thread_vRGgmxBGmBLqAgytqMoPEld7,1.000,1.000,1.000,-0.426,-0.073,-0.254,0.020,-0.194,-0.087
I03005,thread_uYhR47Dn1kP5zQkGaiNbKJYf,1.000,1.000,1.000,0.467,0.231,0.347,0.063,-0.383,-0.168
I13005,thread_RfBjxty9U8UokvNT2R4krJSK,1.000,1.000,1.000,0.025,0.024,0.026,0.337,-0.059,0.133
I23005,thread_vu6hIP7cBkhdezKnWoDwE9an,1.000,1.000,1.000,0.454,0.191,0.320,0.224,-0.167,0.023
I33005,thread_lRqHlvruVVr500lirD3Xq59S,1.000,1.000,1.000,0.459,0.244,0.351,0.054,-0.341,-0.150
S43005,thread_nmQbJfaQG9vbU8iSwbzAfUxL,1.000,1.000,1.000,-0.543,-0.311,-0.428,0.046,-0.233,-0.096
S53005,thread_t4jDcrPx1vSEkfdqsRrLU161,1.000,1.000,1.000,-0.426,-0.073,-0.254,0.048,-0.227,-0.092
I03005,thread_vO3jOMi2dRqp73zJxWsmfvo8,1.000,1.000,1.000,0.422,0.289,0.356,0.224,-0.167,0.023
I13005,thread_sXGVKUlyBne4hN2oYukZxbrs,1.000,1.000,1.000,0.025,0.024,0.026,0.337,-0.059,0.133
I23005,thread_RVNOBaJkqeWMflJl8NCB1FNd,1.000,1.000,1.000,-0.289,-0.042,-0.167,0.251,-0.126,0.057
I33005,thread_MjckVzJOidfV0Mx8wDtRSlQ8,1.000,1.000,1.000,0.459,0.244,0.351,0.224,-0.167,0.023
S43005,thread_BDMm7Y9jbpkJeL9A70CLBJ2D,1.000,1.000,1.000,-0.593,-0.260,-0.430,0.003,-0.178,-0.087
S53005,thread_0N6qE29hjI7vwk5GGsIN4gG8,1.000,1.000,1.000,-0.426,-0.073,-0.254,0.060,-0.122,-0.031
I03005,thread_6ntOw9rpsJkH7XMRMsjCoZlc,1.000,1.000,1.000,0.438,0.191,0.313,0.049,-0.378,-0.172
I13005,thread_Gp7hDPQIyTUspjErMO88CxH2,1.000,1.000,1.000,0.025,0.024,0.026,0.337,-0.059,0.133
I23005,thread_ldIyF8ckNlPgSla3dngM0O7p,1.000,1.000,1.000,0.486,0.228,0.355,0.224,-0.167,0.023
I33005,thread_AR9KSZVPJ3tCv1TJlPZXuqZi,1.000,1.000,1.000,0.422,0.281,0.352,0.224,-0.167,0.023
S43005,thread_W31ujWmLdY1ETGtNeYSnAk4h,1.000,1.000,1.000,-0.840,-0.121,-0.507,0.009,-0.211,-0.102
S53005,thread_EjpIxQlIEPYdwKFTxrfZNkX8,1.000,1.000,1.000,-0.426,-0.073,-0.254,0.062,-0.168,-0.054
I03005,thread_pXvgupWa9wweKo5TihT3SUP6,1.000,1.000,1.000,0.327,0.228,0.278,0.075,-0.289,-0.112
I13005,thread_j7hZk6wS3hI8pNXeVumjrEH4,1.000,1.000,1.000,-0.005,0.030,0.014,0.337,-0.059,0.133
I23005,thread_gdzW0rcS717nMqt4uvHcRZwI,1.000,1.000,1.000,0.454,0.191,0.320,0.224,-0.167,0.023
I33005,thread_qPDyvDb3y2EVUuSpyGVZBqqy,1.000,1.000,1.000,0.459,0.211,0.333,0.269,0.209,0.240
S43005,thread_8ltZ22DrqZBaU6x3aFWS94eY,1.000,1.000,1.000,-0.509,-0.281,-0.396,0.056,-0.186,-0.066
S53005,thread_ybssnhnehKy7CiK7XVkqh99v,1.000,1.000,1.000,-0.426,-0.073,-0.254,0.053,-0.192,-0.071
