State,FileID,PromptID,DocID,Temp,ThreadID,HeadScore,ExScoreP,ExScoreR,ExScoreF1,UT,UT1,UT2
I,0,0,0,0.4,thread_8Qzw9esDRtgqlrKrj380ILIV,1.0,0.142,-0.130,0.004,0.000,0.000,0.000
I,0,0,0,0.4,thread_y1C0pnDTNeQFOcxY4LCeYxc6,1.0,0.017,-0.367,-0.181,0.000,0.000,0.000
I,0,0,0,0.4,thread_WURl7u9EQ4inRh7MNwejq39B,1.0,0.050,-0.372,-0.168,0.182,0.167,0.200
I,0,0,0,0.4,thread_7TD25rThXQZrfWDbtceNuyyp,1.0,0.020,-0.372,-0.182,0.000,0.000,0.000
I,0,0,0,0.4,thread_qtHyhUrxfQnxDYoutKLzAirG,0.0,0.047,-0.136,-0.045,0.000,0.000,0.000
I,0,0,0,0.4,thread_d7x01NtsI78DS1f4x5jWmSBv,0.0,-0.039,-0.313,-0.178,0.000,0.000,0.000
I,0,0,0,0.4,thread_jYPq1lSp0tjC6tCcmK8ewYM1,1.0,0.104,-0.266,-0.087,0.444,0.333,0.667
I,0,0,0,0.4,thread_XRAneZvTr4ISZLQ3fD1Q8fWT,1.0,0.096,-0.376,-0.150,0.167,0.167,0.167
I,0,0,0,0.4,thread_QaW40ZscrkkuL2IFlL4XzA5z,1.0,0.020,-0.372,-0.182,0.000,0.000,0.000
I,0,0,0,0.4,thread_Bo2Sj2yYa8XOnsqR9tBcBWTx,1.0,0.020,-0.372,-0.182,0.000,0.000,0.000
I,1,0,0,0.4,thread_l5spPNkvLiU3Blf2UD7WXXDT,1.0,0.192,-0.429,-0.137,0.000,0.000,0.000
I,1,0,0,0.4,thread_VeQxQuAWcrXnVNh8UMX2kmdh,1.0,0.192,-0.429,-0.137,0.000,0.000,0.000
I,1,0,0,0.4,thread_gh2RmGbaidIChCushZDDSzQV,1.0,0.241,-0.448,-0.126,0.833,0.714,1.000
I,1,0,0,0.4,thread_3JrjgMi3l7E74wedU0BmvWwe,1.0,0.192,-0.429,-0.137,0.000,0.000,0.000
I,1,0,0,0.4,thread_kElhC79uXpTwMlDOiVs0YGWX,1.0,0.192,-0.429,-0.137,0.000,0.000,0.000
I,1,0,0,0.4,thread_M9RfHkJSMw9dCTpo2ajW7fC2,1.0,0.241,-0.448,-0.126,0.833,0.714,1.000
I,1,0,0,0.4,thread_qvwGMn094sgzzb3DERQKvRWV,1.0,0.300,-0.212,0.032,0.167,0.143,0.200
I,1,0,0,0.4,thread_OBAoXbS2GVkMD7rYuSlwlHm7,1.0,0.192,-0.429,-0.137,0.000,0.000,0.000
I,1,0,0,0.4,thread_ebmt1IkiOaOvL6UyGkwgaO6F,1.0,0.192,-0.429,-0.137,0.000,0.000,0.000
