State,FileID,PromptID,DocID,Temp,ThreadID,HeadScore,ExScoreP,ExScoreR,ExScoreF1,UT,UT1,UT2,Format
I,0,3,0,0.4,thread_sS8KlrkUPX48sNPdqTZeUp3T,0.0,0.030,-0.080,-0.024,0.000,0.000,0.000,"JSON"
I,0,3,0,0.4,thread_oeeCjnTsNL9zgjWA4dFOOnjH,1.0,0.072,-0.259,-0.097,0.267,0.333,0.222,"JSON"
I,0,3,0,0.4,thread_FAh7FMAGrW4l81Zsl8GT9bhe,0.0,-0.014,-0.115,-0.063,0.000,0.000,0.000,"JSON"
I,0,3,0,0.4,thread_bkYIhpzbPUKogMoj3grHLdXP,0.0,0.022,-0.093,-0.035,0.000,0.000,0.000,"JSON"
I,0,3,0,0.4,thread_0BXWQAvCj2hWJiCaL5NwyoKD,1.0,0.100,-0.370,-0.145,0.182,0.167,0.200,"JSON"
I,0,3,0,0.4,thread_bdSN1g9PSO7ccjsUZp2Rp1Af,1.0,0.093,-0.280,-0.099,0.182,0.167,0.200,"JSON"
I,0,3,0,0.4,thread_YCNz7Xm5zZqUVddVhIs5w1Kb,0.0,0.001,-0.103,-0.050,0.000,0.000,0.000,"JSON"
I,0,3,0,0.4,thread_4CxACAGZhbzymGQhcAwnpWSo,0.0,0.010,-0.157,-0.073,0.000,0.000,0.000,"JSON"
I,0,3,0,0.4,thread_pWq39SMYMLq0VbBEowj715tP,0.0,0.023,-0.117,-0.046,0.000,0.000,0.000,"JSON"
I,0,3,0,0.4,thread_wofB15SHYEUfEWeg96JR4aJQ,1.0,0.096,-0.273,-0.094,0.000,0.000,0.000,"JSON"
I,1,3,0,0.4,thread_4nHsqPMvBa5VwAC7wjRPMkuE,1.0,0.263,-0.340,-0.055,0.600,0.429,1.000,"JSON"
I,1,3,0,0.4,thread_OpdW4iOG8QPUDp96B3gWBXFh,1.0,0.263,-0.340,-0.055,0.600,0.429,1.000,"JSON"
I,1,3,0,0.4,thread_4k05tXzXbxrNP458lyZRWeNU,1.0,0.263,-0.340,-0.055,0.600,0.429,1.000,"JSON"
I,1,3,0,0.4,thread_vN2BpanP7kkYEOkVIaTtf9mP,1.0,0.263,-0.340,-0.055,0.600,0.429,1.000,"JSON"
I,1,3,0,0.4,thread_JSeucgnD0oG07CGMk5610Uzc,1.0,0.515,-0.143,0.166,0.600,0.429,1.000,"JSON"
I,1,3,0,0.4,thread_oSmkNqlXbx4vhZ3MnjIFS5qp,1.0,0.263,-0.340,-0.055,0.600,0.429,1.000,"JSON"
I,1,3,0,0.4,thread_fO2jQTWwzHjPnk844PpOc5CH,1.0,0.263,-0.340,-0.055,0.600,0.429,1.000,"JSON"
I,1,3,0,0.4,thread_fx786QtKLzyqgPf6hCwKOOxX,1.0,0.263,-0.340,-0.055,0.600,0.429,1.000,"JSON"
I,1,3,0,0.4,thread_V0siRMktLQ606YYnTOhuK6JV,1.0,0.263,-0.340,-0.055,0.600,0.429,1.000,"JSON"
I,1,3,0,0.4,thread_1qPHYZTb75l0YjrCpuhQyxCy,1.0,0.239,-0.315,-0.052,0.600,0.429,1.000,"JSON"
I,2,3,0,0.4,thread_yMeDVLpSWOHuEDYuwoTUxGHZ,1.0,0.035,-0.269,-0.120,0.000,0.000,0.000,"JSON"
I,2,3,0,0.4,thread_Ex0sb0QpoVBaXX4zlhvL0kfI,1.0,0.067,-0.314,-0.129,0.667,0.500,1.000,"JSON"
I,2,3,0,0.4,thread_eHRVvV7ZkyRYofbJSOUQcAbA,1.0,0.072,-0.302,-0.121,0.667,0.500,1.000,"JSON"
I,2,3,0,0.4,thread_aaHHmz2aZD6vNibnzgZYZY4H,1.0,0.092,-0.302,-0.111,0.167,0.167,0.167,"JSON"
I,2,3,0,0.4,thread_EX6z6hJR5ZBGwzfYi7V2dSkq,1.0,0.065,-0.329,-0.138,0.800,0.667,1.000,"JSON"
I,2,3,0,0.4,thread_E1AIlAkhJcp83p7F88Ox1TZZ,1.0,0.070,-0.369,-0.158,0.800,0.667,1.000,"JSON"
I,2,3,0,0.4,thread_nsimC03Xwy2NFYDiNcb3X8MX,1.0,0.121,-0.283,-0.088,0.800,0.667,1.000,"JSON"
I,2,3,0,0.4,thread_wfRwG2AUaymp8JbCMbZljeDt,1.0,0.096,-0.273,-0.094,0.167,0.167,0.167,"JSON"
I,2,3,0,0.4,thread_dfUDYDYciz8iboSc5FMzyCez,0.0,0.023,-0.167,-0.072,0.000,0.000,0.000,"JSON"
I,2,3,0,0.4,thread_awUP54rgcXdNZlx9nvgPX6SP,1.0,0.063,-0.362,-0.157,0.800,0.667,1.000,"JSON"
I,3,3,0,0.4,thread_mO53Nku2uF1OLO8Gdkk5p2rg,0.0,0.014,-0.144,-0.064,0.000,0.000,0.000,"JSON"
I,3,3,0,0.4,thread_Ois6XJ8k2dbsr7dEJ1KFYddv,1.0,0.098,-0.329,-0.123,0.667,0.500,1.000,"JSON"
I,3,3,0,0.4,thread_uSEERaiugAuYhFCNQpMZO1Pk,1.0,0.098,-0.329,-0.123,0.667,0.500,1.000,"JSON"
I,3,3,0,0.4,thread_ftDG21KfH0vjWeJeDaQcUkuX,1.0,0.098,-0.329,-0.123,0.667,0.500,1.000,"JSON"
I,3,3,0,0.4,thread_TMd23S6PBlF11uXThSyVXGOm,1.0,0.098,-0.329,-0.123,0.667,0.500,1.000,"JSON"
I,3,3,0,0.4,thread_PkL02GoMsYhzdw1QhzgxnU2n,1.0,0.098,-0.329,-0.123,0.667,0.500,1.000,"JSON"
I,3,3,0,0.4,thread_6xKrr90Jv20Hb9SDxsVNO0J6,1.0,0.128,-0.021,0.054,0.667,0.500,1.000,"JSON"
I,3,3,0,0.4,thread_NAGxfQCuEfNqc7XiyleVFX5r,1.0,0.098,-0.329,-0.123,0.667,0.500,1.000,"JSON"
I,3,3,0,0.4,thread_MODOHa5iRAKa2mRobHCatQap,1.0,0.102,-0.265,-0.086,0.500,0.333,1.000,"JSON"
I,3,3,0,0.4,thread_QFdQ8dpAJWXIxUuPgsnlpwY8,1.0,0.098,-0.329,-0.123,0.667,0.500,1.000,"JSON"
S,4,3,0,0.4,thread_8EE27BxTjF5P23gpedVSqRfM,1.0,0.037,0.054,0.047,1.000,1.000,1.000,"JSON"
S,4,3,0,0.4,thread_oVAfj4afA7OEw570F6E2w2p0,1.0,0.059,-0.060,-0.000,1.000,1.000,1.000,"JSON"
S,4,3,0,0.4,thread_cxtw9SVpd6JBGLttXspcTa47,1.0,0.040,0.058,0.050,1.000,1.000,1.000,"JSON"
S,4,3,0,0.4,thread_0i0xNxJX8fJpVf9Bk4tOoyjH,1.0,0.040,0.058,0.050,1.000,1.000,1.000,"JSON"
S,4,3,0,0.4,thread_PtuVZpf6oOGsK3n1CX34jYRH,1.0,0.029,-0.046,-0.007,1.000,1.000,1.000,"JSON"
S,4,3,0,0.4,thread_IadomFr9RS1UobVZPw0SdNqz,1.0,0.030,0.016,0.025,1.000,1.000,1.000,"JSON"
S,4,3,0,0.4,thread_zGPWJUwb47Pc59SCG0Bu3kKu,1.0,0.032,0.114,0.074,1.000,1.000,1.000,"JSON"
S,4,3,0,0.4,thread_qrdihWWGVZwjYYSWbkznlG7f,1.0,0.032,0.036,0.036,1.000,1.000,1.000,"JSON"
S,4,3,0,0.4,thread_lHvOjnrMpUM134HJHwC5xbAD,1.0,0.061,0.044,0.054,1.000,1.000,1.000,"JSON"
S,4,3,0,0.4,thread_7SaJmrqkqnqxWz91e3cdxzVm,1.0,0.037,0.054,0.047,1.000,1.000,1.000,"JSON"
S,5,3,0,0.4,thread_ig1AIL9vOOQJOHoCzG3uh9uN,1.0,0.038,-0.011,0.015,1.000,1.000,1.000,"JSON"
S,5,3,0,0.4,thread_9YuWOPSlJPzpGUNDMGKuCE60,0.0,0.039,0.178,0.109,0.000,0.000,0.000,"JSON"
S,5,3,0,0.4,thread_osQwN5e5h87QX3ne246cok8Q,1.0,0.027,0.048,0.039,1.000,1.000,1.000,"JSON"
S,5,3,0,0.4,thread_W4hlFXo0Qr6kjE0y6KxfBEU7,1.0,0.033,0.009,0.022,1.000,1.000,1.000,"JSON"
S,5,3,0,0.4,thread_wb5KpXaZyaET2wdDr545Fws8,0.0,0.021,0.223,0.121,0.000,0.000,0.000,"JSON"
S,5,3,0,0.4,thread_9orZPlP4UxcGYGUEuWEFtxtn,0.0,0.083,-0.089,-0.003,0.000,0.000,0.000,"JSON"
S,5,3,0,0.4,thread_2eQQIx4EdNp5YJzKkRoZZ1R5,1.0,0.053,-0.051,0.002,1.000,1.000,1.000,"JSON"
S,5,3,0,0.4,thread_pN6L8mT2QwVpjjTdbxyEc0uX,0.0,0.002,-0.308,-0.156,0.000,0.000,0.000,"JSON"
S,5,3,0,0.4,thread_gOZnWm1ZL9yaJ3qQJl8OWI16,0.0,0.010,0.019,0.016,0.000,0.000,0.000,"JSON"
S,5,3,0,0.4,thread_7VZMWZtqiByybZpn74nTRLEs,1.0,0.037,0.054,0.047,1.000,1.000,1.000,"JSON"
I,0,3,0,0.4,thread_0LQw2pIebpLRRo6BlubWYtpa,1.0,0.205,-0.422,-0.127,0.727,0.667,0.800,"TXT"
I,0,3,0,0.4,thread_woGI8aGAGzXur8FDWV9QyTHv,1.0,0.200,-0.505,-0.177,0.923,1.000,0.857,"TXT"
I,0,3,0,0.4,thread_BRlNxIKMDYb7z9xCBqIviDqk,1.0,0.198,-0.480,-0.163,0.667,0.667,0.667,"TXT"
I,0,3,0,0.4,thread_hjESLrLw64o7dKFgHnQzQgmy,1.0,0.361,-0.363,-0.026,0.727,0.667,0.800,"TXT"
I,0,3,0,0.4,thread_qPfE0vynbVntuHbGmIsqcGpl,1.0,0.223,-0.420,-0.118,0.727,0.667,0.800,"TXT"
I,0,3,0,0.4,thread_69cfQIKy6QUIgJaRvJ0vswEV,1.0,0.239,-0.523,-0.171,0.923,1.000,0.857,"TXT"
I,0,3,0,0.4,thread_bGTaCk5y52kpuryYiO5kJVUo,1.0,0.202,-0.459,-0.149,0.833,0.833,0.833,"TXT"
I,0,3,0,0.4,thread_gMbNTWcXvNhlbfgyFnI6IiX8,1.0,0.193,-0.469,-0.159,0.833,0.833,0.833,"TXT"
I,0,3,0,0.4,thread_VjVufF5WwOKfYrV14ZloCWOO,1.0,0.233,-0.493,-0.156,0.923,1.000,0.857,"TXT"
I,0,3,0,0.4,thread_uMmBwxXIYLmUPed9UDCQjxiC,1.0,0.241,-0.444,-0.124,0.727,0.667,0.800,"TXT"
I,1,3,0,0.4,thread_AnP9Wm6c3Ihw9YhNgkTxyivb,1.0,0.234,-0.504,-0.161,0.857,0.857,0.857,"TXT"
I,1,3,0,0.4,thread_tPjgwXG8ibTZMYc4LmZjANG2,1.0,0.319,-0.225,0.033,0.444,0.286,1.000,"TXT"
I,1,3,0,0.4,thread_MIN6QeW8oxLVex0RgNhOMxGC,1.0,0.285,-0.394,-0.077,0.444,0.286,1.000,"TXT"
I,1,3,0,0.4,thread_nvyU1IQKLC6B776jxGkNLQsD,1.0,0.417,-0.055,0.171,0.444,0.286,1.000,"TXT"
I,1,3,0,0.4,thread_3Ic6rGITrXBXwAYfQ6vk2o3M,1.0,0.254,-0.298,-0.035,0.444,0.286,1.000,"TXT"
I,1,3,0,0.4,thread_s5PtmPy82MPkMY3vMkDm4fwN,1.0,0.466,-0.099,0.169,0.444,0.286,1.000,"TXT"
I,1,3,0,0.4,thread_4tYy5mupPbXCyiwNkGpRlDoo,1.0,0.352,-0.523,-0.123,0.600,0.429,1.000,"TXT"
I,1,3,0,0.4,thread_NAKpeQ7mPnKvbf6yXv6Htn1h,1.0,0.271,-0.203,0.024,0.444,0.286,1.000,"TXT"
I,1,3,0,0.4,thread_jrI2TissHtSdWwhVAyEqmPmm,1.0,0.458,-0.186,0.117,0.444,0.286,1.000,"TXT"
I,1,3,0,0.4,thread_9lTnc7bD8Ol9lliJw2vSG65L,1.0,0.228,-0.311,-0.055,0.400,0.286,0.667,"TXT"
I,2,3,0,0.4,thread_fJYAxO3xKtUmtWXNTNgptxHb,1.0,0.288,-0.247,0.007,0.250,0.167,0.500,"TXT"
I,2,3,0,0.4,thread_4Zzisvj0qdJzda3XiyA5te6w,1.0,0.291,-0.396,-0.075,0.250,0.167,0.500,"TXT"
I,2,3,0,0.4,thread_DquY1Mc2UsmZyFDmE3QIGhAt,1.0,0.279,-0.306,-0.029,0.000,0.000,0.000,"TXT"
I,2,3,0,0.4,thread_JnSL0TtXvlh9gu9qqlQGkclj,1.0,0.290,-0.287,-0.014,0.250,0.167,0.500,"TXT"
I,2,3,0,0.4,thread_zcNollhG9uFQXAelO6vHmIX9,1.0,0.259,-0.500,-0.149,0.250,0.167,0.500,"TXT"
I,2,3,0,0.4,thread_klVPyBohABk5JHRMgKKMs68B,1.0,0.291,-0.396,-0.075,0.250,0.167,0.500,"TXT"
I,2,3,0,0.4,thread_DZG9bjYPCdyrElhXrXqc6RQX,1.0,0.290,-0.287,-0.014,0.250,0.167,0.500,"TXT"
I,2,3,0,0.4,thread_35HbRExCR09Cyx9GYfYzkt8X,1.0,0.370,-0.277,0.027,0.000,0.000,0.000,"TXT"
I,2,3,0,0.4,thread_7A4yrmM0nTMXlH2V2rP6uIPV,0.0,0.377,-0.168,0.091,0.000,0.000,0.000,"TXT"
I,2,3,0,0.4,thread_st9Z9n3vPEPAN38i2vJFjiA2,1.0,0.291,-0.396,-0.075,0.250,0.167,0.500,"TXT"
I,3,3,0,0.4,thread_pLIAFPOvafcOxXV5H9KD7GZ0,1.0,0.232,-0.334,-0.066,0.667,0.500,1.000,"TXT"
I,3,3,0,0.4,thread_SK8qrfHYqbCbAJo5CPmONUiB,1.0,0.232,-0.506,-0.164,0.500,0.333,1.000,"TXT"
I,3,3,0,0.4,thread_9Y2mAAVgUVUVT3rOzHkv1fhJ,1.0,0.278,-0.238,0.008,0.500,0.333,1.000,"TXT"
I,3,3,0,0.4,thread_JpbnXJPS6bsgnliYsJN2213h,1.0,0.278,-0.238,0.008,0.500,0.333,1.000,"TXT"
I,3,3,0,0.4,thread_UWWXBDttoy8dMqbzKFxhKagk,1.0,0.229,-0.396,-0.102,0.800,0.667,1.000,"TXT"
I,3,3,0,0.4,thread_4lwCeSArPJ7kUS8uKJHWxaZV,1.0,0.326,-0.206,0.047,0.286,0.167,1.000,"TXT"
I,3,3,0,0.4,thread_BSeRDfovqnQOtca89dYFMcqc,1.0,0.418,-0.146,0.122,0.500,0.333,1.000,"TXT"
I,3,3,0,0.4,thread_mVjEwvCmjpOyyHpeLmyxG4Wo,1.0,0.541,0.110,0.318,0.286,0.167,1.000,"TXT"
I,3,3,0,0.4,thread_Gw9ph6E8zLEiffZwHaYwlD6F,1.0,0.232,-0.334,-0.066,0.667,0.500,1.000,"TXT"
I,3,3,0,0.4,thread_r8fvwmHPDLrOuvLRIKQury2H,1.0,0.266,-0.343,-0.055,0.667,0.500,1.000,"TXT"
S,4,3,0,0.4,thread_lAGExOKC4FcqULVT7nhuyeDG,1.0,0.056,-0.074,-0.009,1.000,1.000,1.000,"TXT"
S,4,3,0,0.4,thread_2cfI40tt1BqD2fnVf77gOw8G,1.0,0.084,-0.125,-0.021,1.000,1.000,1.000,"TXT"
S,4,3,0,0.4,thread_nqGXeOt8PJqaJ8X4RMjuuJFH,1.0,0.025,-0.106,-0.040,0.000,0.000,0.000,"TXT"
S,4,3,0,0.4,thread_cDNTl8U5x8HdJziSDZyWpLU7,0.0,0.124,-0.197,-0.040,0.000,0.000,0.000,"TXT"
S,4,3,0,0.4,thread_tlp4AC15hyYEK7O4kTyNMxkS,1.0,-0.007,-0.139,-0.072,1.000,1.000,1.000,"TXT"
S,4,3,0,0.4,thread_wUhOA1bB0CrKoVO8BdPTMjJ3,1.0,0.049,0.205,0.127,1.000,1.000,1.000,"TXT"
S,4,3,0,0.4,thread_Hu7UNwBBCIqNup6WezD6AGnF,1.0,0.021,-0.087,-0.032,1.000,1.000,1.000,"TXT"
S,4,3,0,0.4,thread_tSih4ude8Cnj6vvYmPIc1dNJ,1.0,0.040,0.146,0.094,1.000,1.000,1.000,"TXT"
S,4,3,0,0.4,thread_rY66k8bdMDEeha8RlQMbzBpT,1.0,0.034,-0.088,-0.026,0.000,0.000,0.000,"TXT"
S,4,3,0,0.4,thread_ja8AwC05bYl9v20C1WKzuSPi,1.0,0.046,-0.098,-0.025,1.000,1.000,1.000,"TXT"
S,5,3,0,0.4,thread_bFO2To50iH7aXPdXOT9WE3ur,0.0,0.074,-0.177,-0.053,0.000,0.000,0.000,"TXT"
S,5,3,0,0.4,thread_5xQAfj5GWAR32MPxrb87jXH6,1.0,0.033,-0.183,-0.076,1.000,1.000,1.000,"TXT"
S,5,3,0,0.4,thread_Vda7HFGodV481UmQZsWasAqO,0.0,-0.071,-0.242,-0.156,0.000,0.000,0.000,"TXT"
S,5,3,0,0.4,thread_bDQ2767D31zpS8ccEsGbuAD6,1.0,0.073,-0.129,-0.028,1.000,1.000,1.000,"TXT"
S,5,3,0,0.4,thread_wxW4fxMpuli6BtIioSc8vGV9,1.0,0.034,0.024,0.030,1.000,1.000,1.000,"TXT"
S,5,3,0,0.4,thread_VXcHB1NA0XVBGnxWu9x1Y5Y8,1.0,0.060,-0.128,-0.034,1.000,1.000,1.000,"TXT"
S,5,3,0,0.4,thread_ENeQZOgHuqb3jlH9nLr26s7V,0.0,-0.017,-0.040,-0.027,0.000,0.000,0.000,"TXT"
S,5,3,0,0.4,thread_LMsdzNtBRSBqLVT00PfS4jZM,0.0,-0.041,-0.058,-0.047,0.000,0.000,0.000,"TXT"
S,5,3,0,0.4,thread_jGoUXjukl5oNnBVf1FEYDGNo,0.0,0.004,-0.062,-0.027,0.000,0.000,0.000,"TXT"
S,5,3,0,0.4,thread_VKtQwNaJzwk2VkafWxn4WX1h,1.0,0.059,-0.072,-0.006,1.000,1.000,1.000,"TXT"
