T, T1, T2, UT, UT1, UT2
0,10,0,0.0,0.0,0.0
1,10,1,0.18181818181818182,0.1,1.0
2,10,2,0.3333333333333333,0.2,1.0
3,10,3,0.46153846153846156,0.3,1.0
4,10,4,0.5714285714285714,0.4,1.0
5,10,5,0.6666666666666666,0.5,1.0
4,10,6,0.5,0.4,0.6666666666666666
6,10,7,0.7058823529411765,0.6,0.8571428571428571
5,10,8,0.5555555555555556,0.5,0.625
5,10,9,0.5263157894736842,0.5,0.5555555555555556
6,10,10,0.6,0.6,0.6
7,10,11,0.6666666666666666,0.7,0.6363636363636364
8,10,12,0.7272727272727273,0.8,0.6666666666666666
7,10,13,0.6086956521739131,0.7,0.5384615384615384
7,10,14,0.5833333333333334,0.7,0.5
0,10,0,0.0,0.0,0.0
1,10,1,0.18181818181818182,0.1,1.0
2,10,2,0.3333333333333333,0.2,1.0
3,10,3,0.46153846153846156,0.3,1.0
3,10,4,0.42857142857142855,0.3,0.75
4,10,5,0.5333333333333333,0.4,0.8
3,10,6,0.375,0.3,0.5
6,10,7,0.7058823529411765,0.6,0.8571428571428571
4,10,8,0.4444444444444444,0.4,0.5
6,10,9,0.631578947368421,0.6,0.6666666666666666
6,10,10,0.6,0.6,0.6
9,10,11,0.8571428571428571,0.9,0.8181818181818182
7,10,12,0.6363636363636364,0.7,0.5833333333333334
8,10,13,0.6956521739130435,0.8,0.6153846153846154
8,10,14,0.6666666666666666,0.8,0.5714285714285714
0,10,0,0.0,0.0,0.0
1,10,1,0.18181818181818182,0.1,1.0
2,10,2,0.3333333333333333,0.2,1.0
3,10,3,0.46153846153846156,0.3,1.0
3,10,4,0.42857142857142855,0.3,0.75
5,10,5,0.6666666666666666,0.5,1.0
4,10,6,0.5,0.4,0.6666666666666666
5,10,7,0.5882352941176471,0.5,0.7142857142857143
6,10,8,0.6666666666666666,0.6,0.75
7,10,9,0.7368421052631579,0.7,0.7777777777777778
8,10,10,0.8,0.8,0.8
6,10,11,0.5714285714285714,0.6,0.5454545454545454
7,10,12,0.6363636363636364,0.7,0.5833333333333334
7,10,13,0.6086956521739131,0.7,0.5384615384615384
7,10,14,0.5833333333333334,0.7,0.5
0,10,0,0.0,0.0,0.0
1,10,1,0.18181818181818182,0.1,1.0
2,10,2,0.3333333333333333,0.2,1.0
3,10,3,0.46153846153846156,0.3,1.0
4,10,4,0.5714285714285714,0.4,1.0
5,10,5,0.6666666666666666,0.5,1.0
6,10,6,0.75,0.6,1.0
6,10,7,0.7058823529411765,0.6,0.8571428571428571
6,10,8,0.6666666666666666,0.6,0.75
6,10,9,0.631578947368421,0.6,0.6666666666666666
7,10,10,0.7,0.7,0.7
9,10,11,0.8571428571428571,0.9,0.8181818181818182
9,10,12,0.8181818181818182,0.9,0.75
8,10,13,0.6956521739130435,0.8,0.6153846153846154
8,10,14,0.6666666666666666,0.8,0.5714285714285714
0,10,0,0.0,0.0,0.0
1,10,1,0.18181818181818182,0.1,1.0
2,10,2,0.3333333333333333,0.2,1.0
3,10,3,0.46153846153846156,0.3,1.0
4,10,4,0.5714285714285714,0.4,1.0
4,10,5,0.5333333333333333,0.4,0.8
4,10,6,0.5,0.4,0.6666666666666666
5,10,7,0.5882352941176471,0.5,0.7142857142857143
6,10,8,0.6666666666666666,0.6,0.75
7,10,9,0.7368421052631579,0.7,0.7777777777777778
5,10,10,0.5,0.5,0.5
8,10,11,0.7619047619047619,0.8,0.7272727272727273
8,10,12,0.7272727272727273,0.8,0.6666666666666666
5,10,13,0.43478260869565216,0.5,0.38461538461538464
7,10,14,0.5833333333333334,0.7,0.5
0,10,0,0.0,0.0,0.0
1,10,1,0.18181818181818182,0.1,1.0
2,10,2,0.3333333333333333,0.2,1.0
3,10,3,0.46153846153846156,0.3,1.0
4,10,4,0.5714285714285714,0.4,1.0
5,10,5,0.6666666666666666,0.5,1.0
6,10,6,0.75,0.6,1.0
4,10,7,0.47058823529411764,0.4,0.5714285714285714
6,10,8,0.6666666666666666,0.6,0.75
4,10,9,0.42105263157894735,0.4,0.4444444444444444
6,10,10,0.6,0.6,0.6
7,10,11,0.6666666666666666,0.7,0.6363636363636364
8,10,12,0.7272727272727273,0.8,0.6666666666666666
7,10,13,0.6086956521739131,0.7,0.5384615384615384
7,10,14,0.5833333333333334,0.7,0.5
0,10,0,0.0,0.0,0.0
1,10,1,0.18181818181818182,0.1,1.0
2,10,2,0.3333333333333333,0.2,1.0
3,10,3,0.46153846153846156,0.3,1.0
4,10,4,0.5714285714285714,0.4,1.0
4,10,5,0.5333333333333333,0.4,0.8
6,10,6,0.75,0.6,1.0
5,10,7,0.5882352941176471,0.5,0.7142857142857143
4,10,8,0.4444444444444444,0.4,0.5
7,10,9,0.7368421052631579,0.7,0.7777777777777778
5,10,10,0.5,0.5,0.5
8,10,11,0.7619047619047619,0.8,0.7272727272727273
8,10,12,0.7272727272727273,0.8,0.6666666666666666
7,10,13,0.6086956521739131,0.7,0.5384615384615384
7,10,14,0.5833333333333334,0.7,0.5
0,10,0,0.0,0.0,0.0
1,10,1,0.18181818181818182,0.1,1.0
2,10,2,0.3333333333333333,0.2,1.0
3,10,3,0.46153846153846156,0.3,1.0
2,10,4,0.2857142857142857,0.2,0.5
5,10,5,0.6666666666666666,0.5,1.0
4,10,6,0.5,0.4,0.6666666666666666
5,10,7,0.5882352941176471,0.5,0.7142857142857143
6,10,8,0.6666666666666666,0.6,0.75
5,10,9,0.5263157894736842,0.5,0.5555555555555556
6,10,10,0.6,0.6,0.6
7,10,11,0.6666666666666666,0.7,0.6363636363636364
6,10,12,0.5454545454545454,0.6,0.5
8,10,13,0.6956521739130435,0.8,0.6153846153846154
8,10,14,0.6666666666666666,0.8,0.5714285714285714
0,10,0,0.0,0.0,0.0
1,10,1,0.18181818181818182,0.1,1.0
2,10,2,0.3333333333333333,0.2,1.0
2,10,3,0.3076923076923077,0.2,0.6666666666666666
2,10,4,0.2857142857142857,0.2,0.5
4,10,5,0.5333333333333333,0.4,0.8
5,10,6,0.625,0.5,0.8333333333333334
5,10,7,0.5882352941176471,0.5,0.7142857142857143
7,10,8,0.7777777777777778,0.7,0.875
7,10,9,0.7368421052631579,0.7,0.7777777777777778
7,10,10,0.7,0.7,0.7
7,10,11,0.6666666666666666,0.7,0.6363636363636364
7,10,12,0.6363636363636364,0.7,0.5833333333333334
8,10,13,0.6956521739130435,0.8,0.6153846153846154
8,10,14,0.6666666666666666,0.8,0.5714285714285714
0,10,0,0.0,0.0,0.0
1,10,1,0.18181818181818182,0.1,1.0
2,10,2,0.3333333333333333,0.2,1.0
3,10,3,0.46153846153846156,0.3,1.0
3,10,4,0.42857142857142855,0.3,0.75
3,10,5,0.4,0.3,0.6
4,10,6,0.5,0.4,0.6666666666666666
6,10,7,0.7058823529411765,0.6,0.8571428571428571
6,10,8,0.6666666666666666,0.6,0.75
6,10,9,0.631578947368421,0.6,0.6666666666666666
6,10,10,0.6,0.6,0.6
5,10,11,0.47619047619047616,0.5,0.45454545454545453
7,10,12,0.6363636363636364,0.7,0.5833333333333334
6,10,13,0.5217391304347826,0.6,0.46153846153846156
9,10,14,0.75,0.9,0.6428571428571429
0,10,0,0.0,0.0,0.0
1,10,1,0.18181818181818182,0.1,1.0
2,10,2,0.3333333333333333,0.2,1.0
3,10,3,0.46153846153846156,0.3,1.0
4,10,4,0.5714285714285714,0.4,1.0
3,10,5,0.4,0.3,0.6
4,10,6,0.5,0.4,0.6666666666666666
6,10,7,0.7058823529411765,0.6,0.8571428571428571
5,10,8,0.5555555555555556,0.5,0.625
7,10,9,0.7368421052631579,0.7,0.7777777777777778
9,10,10,0.9,0.9,0.9
7,10,11,0.6666666666666666,0.7,0.6363636363636364
8,10,12,0.7272727272727273,0.8,0.6666666666666666
8,10,13,0.6956521739130435,0.8,0.6153846153846154
8,10,14,0.6666666666666666,0.8,0.5714285714285714
0,10,0,0.0,0.0,0.0
1,10,1,0.18181818181818182,0.1,1.0
2,10,2,0.3333333333333333,0.2,1.0
2,10,3,0.3076923076923077,0.2,0.6666666666666666
4,10,4,0.5714285714285714,0.4,1.0
3,10,5,0.4,0.3,0.6
6,10,6,0.75,0.6,1.0
7,10,7,0.8235294117647058,0.7,1.0
4,10,8,0.4444444444444444,0.4,0.5
6,10,9,0.631578947368421,0.6,0.6666666666666666
7,10,10,0.7,0.7,0.7
7,10,11,0.6666666666666666,0.7,0.6363636363636364
7,10,12,0.6363636363636364,0.7,0.5833333333333334
8,10,13,0.6956521739130435,0.8,0.6153846153846154
8,10,14,0.6666666666666666,0.8,0.5714285714285714
0,10,0,0.0,0.0,0.0
1,10,1,0.18181818181818182,0.1,1.0
2,10,2,0.3333333333333333,0.2,1.0
2,10,3,0.3076923076923077,0.2,0.6666666666666666
4,10,4,0.5714285714285714,0.4,1.0
4,10,5,0.5333333333333333,0.4,0.8
4,10,6,0.5,0.4,0.6666666666666666
2,10,7,0.23529411764705882,0.2,0.2857142857142857
5,10,8,0.5555555555555556,0.5,0.625
6,10,9,0.631578947368421,0.6,0.6666666666666666
7,10,10,0.7,0.7,0.7
6,10,11,0.5714285714285714,0.6,0.5454545454545454
7,10,12,0.6363636363636364,0.7,0.5833333333333334
